tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_luas_wilayah_(km2),jumlah_kepadatan_(jiwa_per_km2)
2017,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,0.62,10858.29
2017,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,2.58,2712.89
2017,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,2.45,1019.12
2017,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,1.03,2303.35
2017,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,1.07,5261.93
2017,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,0.95,354.23
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,2.58,1241.29
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,1.26,1562.35
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,1.12,19813.13
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,1.14,16004.4
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,0.78,16822.2
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,0.71,35931.27
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1.89,8521.3
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,0.51,65788.65
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,0.57,50704.23
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,1.9,10938.47
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,1.29,28317.45
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,0.53,49754.52
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,1.16,31065.4
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,0.53,53491.11
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,0.82,45287.61
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,1.53,15949.71
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,0.99,41318.84
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,1.15,24675.37
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,0.54,68103.66
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,0.81,10851.67
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,0.92,12593.44
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,0.71,41036.27
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,0.71,5168.54
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,0.45,42859.6
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,0.63,37011.49
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,2.23,1323.46
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,1.22,35468.12
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,1.25,21312.22
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,2.44,12996.88
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,0.98,2946.56
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,0.82,12533.8
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,1.46,3491.98
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,0.83,19182.25
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,2.59,1585.3
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,1.58,17003.3
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,1.53,1538.3
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,0.9,47053.27
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,1.26,32813.2
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,0.71,37898.59
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,0.73,20395.1
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,1.19,38193.12
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,0.3,90292.26
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,0.26,87935.11
2017,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,0.62,76118.16
2017,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,3.95,26604.71
